target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1213.32	0	0
NM_009659	2347	2187.32	0	0
NM_001177730	1802	1642.32	136.42	1.31082
NM_013839	1955	1795.32	12.5799	0.110575
NM_013556	1349	1189.32	7391	98.0678
NM_054039	3765	3605.32	0	0
NM_001199347	3832	3672.32	0	0
NM_001199348	3690	3530.32	15.0936	0.0674684
NM_001037761	1789	1629.32	69.0995	0.669253
NM_001253718	3895	3735.32	81.5293	0.344435
NM_028835	3774	3614.32	1393.19	6.08283
NM_001271405	1655	1495.32	139.564	1.47286
NM_001253717	3925	3765.32	0	0
NM_009798	1676	1516.32	6947.34	72.3018
NM_010410	584	424.503	0	0
NM_176847	3183	3023.32	4.00018	0.0208793
NM_001163433	6600	6440.32	0	0
NM_138683	1834	1674.32	3.01756	0.0284406
NM_001037221	7120	6960.32	825.76	1.87217
NM_028966	6856	6696.32	371.24	0.874862
NM_172815	3340	3180.32	0	0
NM_028351	2411	2251.32	0	0
NM_001040689	2371	2211.32	0	0
NM_008470	1580	1420.32	2	0.0222211
NM_011638	4920	4760.32	24289	80.5182
NM_001099635	5992	5832.32	1	0.0027057
NM_011179	2676	2516.32	66.8274	0.419092
NM_001146120	2667	2507.32	10944	68.879
NM_001146121	2673	2513.32	218.751	1.37349
NM_001146122	2664	2504.32	1008.22	6.35309
NM_001146123	2640	2480.32	40.4953	0.257643
NM_001146124	2583	2423.32	873.726	5.68965
NM_011443	2480	2320.32	0	0
NR_132735	1009	849.317	252.49	4.69131
NR_132734	1211	1051.32	325.51	4.88598
NM_008960	8229	8069.32	15991.9	31.2741
NM_009217	1532	1372.32	7.0074	0.0805792
NM_001042606	1342	1182.32	1.9926	0.0265954
NR_029382	2339	2179.32	935	6.77036
NM_001252452	991	831.317	6	0.113895
NM_013633	1353	1193.32	0	0
NR_073392	5491	5331.32	0	0
NR_073425	2818	2658.32	16.0327	0.0951744
NM_001146038	5740	5580.32	0	0
NM_009820	5707	5547.32	5.65542e-06	1.6088e-08
NM_001271627	5904	5744.32	21.7069	0.0596321
NM_001145920	6475	6315.32	181.886	0.45449
NM_001271630	5829	5669.32	29.6032	0.0824003
NM_001271631	5724	5564.32	0	0
NM_153397	2447	2287.32	5	0.0344956
NM_012035	3550	3390.32	1.10889	0.0051614
NM_001302372	3547	3387.32	3.15458	0.0146962
NM_175096	1985	1825.32	923	7.97965
NM_001302373	3674	3514.32	0	0
NM_009721	2590	2430.32	19394.6	125.933
NM_026976	1491	1331.32	4	0.0474132
NM_001293693	2247	2087.32	0	0
NM_009810	2605	2445.32	2733.78	17.642
NM_018733	8287	8127.32	2.97516	0.00577675
NM_001284409	2610	2450.32	8892.22	57.2676
NM_008342	1342	1182.32	0	0
NM_139206	5266	5106.32	0	0
NM_001205336	5425	5265.32	0	0
NM_175172	3767	3607.32	42.3081	0.18508
NM_001114312	4081	3921.32	5800.69	23.3436
NM_007496	16439	16279.3	901.895	0.87426
NM_001199956	1437	1277.32	3.81085	0.0470808
NM_001008542	5156	4996.32	497.986	1.57285
NM_001291013	2297	2137.32	302.62	2.23434
NM_001030292	1032	872.317	0	0
NM_001081248	1224	1064.32	0	0
NM_001105201	1557	1397.32	7	0.079054
NM_010275	4477	4317.32	0	0
NM_001008543	4843	4683.32	0	0
NM_001123394	708	548.415	0	0
NM_001013393	1323	1163.32	23.1749	0.31437
NM_001301333	3761	3601.32	0	0
NM_001291012	2300	2140.32	384.634	2.8359
NM_001301332	4399	4239.32	0	0
NM_018743	3944	3784.32	16618	69.2966
NM_001290316	3457	3297.32	34.0409	0.162915
NM_001110506	2551	2391.32	88	0.580719
NM_010847	4996	4836.32	784.014	2.55817
NM_016902	2303	2143.32	687.746	5.06363
NM_001301357	3449	3289.32	0	0
NM_177410	2147	1987.32	51.5903	0.409658
NR_045747	971	811.317	0	0
NR_045954	1094	934.317	3	0.0506696
NR_028300	1815	1655.32	479	4.56641
NR_028427	5292	5132.32	264.994	0.814785
NM_001281470	345	188.806	0	0
NM_001142750	1032	872.317	0	0
NM_001085538	1292	1132.32	9.6852	0.134977
NM_001167673	643	483.415	0	0
NM_001105160	1999	1839.32	0	0
NM_001104525	1770	1610.32	0	0
NM_001166210	6340	6180.32	6	0.0153201
NM_001081294	1293	1133.32	0	0
NM_001100596	2680	2520.32	1.16398	0.00728804
NM_001289458	2838	2678.32	0	0
NM_001289459	2827	2667.32	0	0
NM_010427	2810	2650.32	0	0
NM_001289461	2645	2485.32	0	0
NM_001199431	5370	5210.32	6426.12	19.4628
NM_013464	5494	5334.32	1618	4.78652
NM_010066	5367	5207.32	6319.05	19.1495
NM_001199432	5251	5091.32	2.49905	0.00774579
NM_001199433	5876	5716.32	412.618	1.13908
NM_001277149	11306	11146.3	691	0.978289
NM_010601	3583	3423.32	24	0.110633
NM_001101603	420	261.346	4	0.241527
NM_170593	6629	6469.32	24	0.0585428
NM_021893	3653	3493.32	63.8899	0.288612
NM_001081695	1831	1671.32	0	0
NM_001284197	1672	1512.32	0	0
NM_001284198	1468	1308.32	0	0
NM_001284200	1129	969.317	0	0
NM_001284199	1295	1135.32	0	0
NM_019448	1685	1525.32	0	0
NM_026931	1331	1171.32	304	4.09562
NM_001277316	2811	2651.32	506.648	3.01554
NM_001277315	3228	3068.32	388.875	2
NM_001114879	7307	7147.32	606.296	1.33864
NM_133222	4106	3946.32	0	0
NM_175642	5522	5362.32	0	0
NM_001277317	2789	2629.32	28.1809	0.169134
NM_001302957	7409	7249.32	2242.47	4.88146
NM_145496	2350	2190.32	260.702	1.87827
NM_001277318	2761	2601.32	1195.06	7.24967
NM_001302958	2265	2105.32	234.529	1.75792
NM_025459	2929	2769.32	144.108	0.821178
NM_001033400	2548	2388.32	0	0
NM_001081033	2848	2688.32	0	0
NM_001081403	4018	3858.32	0	0
NM_178643	1788	1628.32	1283.22	12.436
NM_024450	3470	3310.32	230.326	1.09798
NM_183216	3072	2912.32	42.6667	0.231191
NM_001034851	3139	2979.32	1088.76	5.76682
NM_028945	7581	7421.32	3098.62	6.58883
NM_173036	2454	2294.32	2	0.0137562
NM_027980	3175	3015.32	1284	6.71974
NM_008904	6464	6304.32	148.968	0.372885
NM_144520	2529	2369.32	136	0.905808
NM_010897	11847	11687.3	2896	3.91025
NM_178677	5801	5641.32	118.472	0.331403
NM_009147	4108	3948.32	3290	13.1494
NM_001164562	5676	5516.32	370.718	1.06051
NM_019951	1113	953.317	4473	74.0427
NM_011342	1815	1655.32	3214.31	30.6427
NM_024206	1301	1141.32	7645	105.704
NM_133704	3992	3832.32	2093	8.61843
NM_001029937	3928	3768.32	17.0645	0.0714605
NM_025468	770	610.415	3780	97.7208
NM_001252544	2792	2632.32	4778.36	28.6458
NM_001252545	2781	2621.32	397.945	2.39565
NM_146013	2956	2796.32	0	0
NM_152915	3664	3504.32	0	0
NM_001281816	2421	2261.32	52.9516	0.36952
NM_153125	8754	8594.32	6119	11.2354
NM_001252543	2799	2639.32	96.7165	0.578268
NM_019787	2810	2650.32	2396.02	14.2664
NR_015577	1840	1680.32	606.999	5.70056
NR_003278	1870	1710.32	0	0
NM_001127725	2337	2177.32	13	0.0942198
NR_027710	6495	6335.32	44.4708	0.110771
NR_132443	2983	2823.32	495.174	2.7677
NM_001012402	1234	1074.32	11	0.161578
NM_001005847	1307	1147.32	1030.43	14.1728
NM_001205054	1277	1117.32	18.5733	0.262321
NM_001285418	3866	3706.32	0	0
NM_001285419	3855	3695.32	0	0
NM_001048139	4161	4001.32	0	0
NM_001285416	4078	3918.32	0	0
NM_001048141	4001	3841.32	0	0
NM_001048142	4009	3849.32	57.8855	0.237305
NM_001285421	3941	3781.32	0	0
NM_007540	4302	4142.32	0	0
NM_001285417	3875	3715.32	0	0
NM_001285420	3743	3583.32	4.11446	0.0181196
NM_001316310	3950	3790.32	0	0
NM_001282737	692	532.415	3989	118.232
NM_001195544	902	742.317	0	0
NM_009571	2816	2656.32	0	0
NM_007711	5529	5369.32	4478.8	13.1632
NM_001099326	733	573.415	0	0
NM_001302386	4169	4009.32	1893.21	7.4516
NM_008996	2657	2497.32	10756.4	67.9693
NM_001085524	842	682.317	0	0
