target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1205.96	0	0
NM_009659	2347	2179.96	1	0.0115045
NM_001177730	1802	1634.96	61.9032	0.949557
NM_013839	1955	1787.96	23.0968	0.323974
NM_013556	1349	1181.96	4175	88.5868
NM_054039	3765	3597.96	0	0
NM_001199347	3832	3664.96	0	0
NM_001199348	3690	3522.96	4.22382	0.0300686
NM_001037761	1789	1621.96	32.7154	0.505856
NM_001253718	3895	3727.96	112.021	0.753607
NM_028835	3774	3606.96	644.37	4.48032
NM_001271405	1655	1487.96	66.1022	1.11414
NM_001253717	3925	3757.96	0	0
NM_009798	1676	1508.96	3698.18	61.4647
NM_010410	584	417.083	0	0
NM_176847	3183	3015.96	1.00004	0.00831585
NM_001163433	6600	6432.96	32.7247	0.127579
NM_138683	1834	1666.96	6.19283	0.0931707
NM_001037221	7120	6952.96	629.612	2.27101
NM_028966	6856	6688.96	844.663	3.16694
NM_172815	3340	3172.96	0	0
NM_028351	2411	2243.96	0	0
NM_001040689	2371	2203.96	0	0
NM_008470	1580	1412.96	0	0
NM_011638	4920	4752.96	11335	59.8099
NM_001099635	5992	5824.96	0	0
NM_011179	2676	2508.96	234.929	2.34833
NM_001146120	2667	2499.96	7830.96	78.5592
NM_001146121	2673	2505.96	116.447	1.16539
NM_001146122	2664	2496.96	495.501	4.97678
NM_001146123	2640	2472.96	0	0
NM_001146124	2583	2415.96	292.164	3.03286
NM_011443	2480	2312.96	0	0
NR_132735	1009	841.961	168.908	5.03124
NR_132734	1211	1043.96	126.092	3.02913
NM_008960	8229	8061.96	16497.9	51.3219
NM_009217	1532	1364.96	18.9269	0.347756
NM_001042606	1342	1174.96	6.07309	0.129629
NR_029382	2339	2171.96	532	6.14293
NM_001252452	991	823.961	2	0.060875
NM_013633	1353	1185.96	0	0
NR_073392	5491	5323.96	0	0
NR_073425	2818	2650.96	5.11922	0.0484302
NM_001146038	5740	5572.96	0	0
NM_009820	5707	5539.96	0	0
NM_001271627	5904	5736.96	0	0
NM_001145920	6475	6307.96	79.5052	0.316098
NM_001271630	5829	5661.96	48.7127	0.21577
NM_001271631	5724	5556.96	0	0
NM_153397	2447	2279.96	0	0
