target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1205.88	0	0
NM_009659	2347	2179.88	1	0.00856845
NM_001177730	1802	1634.88	122.958	1.40477
NM_013839	1955	1787.88	23.0419	0.240722
NM_013556	1349	1181.88	6735	106.439
NM_054039	3765	3597.88	6.48902	0.0336874
NM_001199347	3832	3664.88	0	0
NM_001199348	3690	3522.88	0	0
NM_001037761	1789	1621.88	71.2261	0.820267
NM_001253718	3895	3727.88	114.171	0.572044
NM_028835	3774	3606.88	914.841	4.7375
NM_001271405	1655	1487.88	205.871	2.58442
NM_001253717	3925	3757.88	0	0
NM_009798	1676	1508.88	5910.9	73.1701
NM_010410	584	417.041	0	0
NM_176847	3183	3015.88	5.00015	0.0309673
NM_001163433	6600	6432.88	34.6736	0.100677
NM_138683	1834	1666.88	7.91694	0.0887132
NM_001037221	7120	6952.88	909.283	2.44269
NM_028966	6856	6688.88	971.894	2.71394
NM_172815	3340	3172.88	0	0
NM_028351	2411	2243.88	0	0
NM_001040689	2371	2203.88	0	0
NM_008470	1580	1412.88	0	0
NM_011638	4920	4752.88	13150	51.6778
NM_001099635	5992	5824.88	0	0
NM_011179	2676	2508.88	279.358	2.07977
NM_001146120	2667	2499.88	11454.1	85.5809
NM_001146121	2673	2505.88	154.698	1.15308
NM_001146122	2664	2496.88	794.681	5.9447
NM_001146123	2640	2472.88	13.237	0.0999818
NM_001146124	2583	2415.88	323.916	2.50433
NM_011443	2480	2312.88	0	0
NR_132735	1009	841.88	318.557	7.06759
NR_132734	1211	1043.88	224.443	4.01598
NM_008960	8229	8061.88	20484.2	47.459
NM_009217	1532	1364.88	11.1986	0.153252
NM_001042606	1342	1174.88	2.80136	0.044536
NR_029382	2339	2171.88	732	6.29521
NM_001252452	991	823.88	9	0.204039
NM_013633	1353	1185.88	0	0
NR_073392	5491	5323.88	0	0
NR_073425	2818	2650.88	5.7722	0.0406711
NM_001146038	5740	5572.88	0.00258296	8.65711e-06
NM_009820	5707	5539.88	3.03058	0.0102178
NM_001271627	5904	5736.88	0	0
NM_001145920	6475	6307.88	78.6243	0.232814
NM_001271630	5829	5661.88	40.6154	0.133988
NM_001271631	5724	5556.88	0	0
NM_153397	2447	2279.88	0	0
NM_012035	3550	3382.88	1.67241	0.009234
NM_001302372	3547	3379.88	4.80687	0.0265641
NM_175096	1985	1817.88	2645	27.1766
NM_001302373	3674	3506.88	0	0
NM_009721	2590	2422.88	20006.8	154.234
NM_026976	1491	1323.88	6	0.084652
NM_001293693	2247	2079.88	10	0.0898042
NM_009810	2605	2437.88	2316.97	17.7518
NM_018733	8287	8119.88	0	0
NM_001284409	2610	2442.88	6073.03	46.4342
NM_008342	1342	1174.88	0	0
NM_139206	5266	5098.88	3	0.0109896
NM_001205336	5425	5257.88	0	0
NM_175172	3767	3599.88	30.416	0.157815
NM_001114312	4081	3913.88	4416.58	21.0772
NM_007496	16439	16271.9	689.918	0.791944
NM_001199956	1437	1269.88	3.79117	0.0557629
NM_001008542	5156	4988.88	219.318	0.821119
NM_001291013	2297	2129.88	520.649	4.56588
NM_001030292	1032	864.88	0	0
NM_001081248	1224	1056.88	0	0
NM_001105201	1557	1389.88	6	0.0806322
NM_010275	4477	4309.88	0	0
NM_001008543	4843	4675.88	0	0
NM_001123394	708	540.976	0	0
NM_001013393	1323	1155.88	3.1437	0.0507999
NM_001301333	3761	3593.88	0	0
NM_001291012	2300	2132.88	683.815	5.98834
NM_001301332	4399	4231.88	0	0
NM_018743	3944	3776.88	7995	39.5385
NM_001290316	3457	3289.88	21.0972	0.119779
NM_001110506	2551	2383.88	190	1.48869
NM_010847	4996	4828.88	793.682	3.06998
NM_016902	2303	2135.88	861.537	7.53411
NM_001301357	3449	3281.88	0	0
NM_177410	2147	1979.88	30.9911	0.29237
NR_045747	971	803.88	0	0
NR_045954	1094	926.88	1	0.0201517
NR_028300	1815	1647.88	263	2.98102
NR_028427	5292	5124.88	765.345	2.78938
NM_001281470	345	181.046	0	0
NM_001142750	1032	864.88	0	0
NM_001085538	1292	1124.88	7.78767	0.129311
NM_001167673	643	475.976	0	0
NM_001105160	1999	1831.88	0	0
NM_001104525	1770	1602.88	0	0
NM_001166210	6340	6172.88	0	0
NM_001081294	1293	1125.88	0	0
NM_001100596	2680	2512.88	1.12853	0.00838831
NM_001289458	2838	2670.88	0	0
NM_001289459	2827	2659.88	0	0
NM_010427	2810	2642.88	0	0
NM_001289461	2645	2477.88	0	0
NM_001199431	5370	5202.88	2804.67	10.0687
NM_013464	5494	5326.88	3262	11.4379
NM_010066	5367	5199.88	2492.95	8.95477
NM_001199432	5251	5083.88	0.000466386	1.7135e-06
NM_001199433	5876	5708.88	116.577	0.381413
NM_001277149	11306	11138.9	620	1.03964
NM_010601	3583	3415.88	135	0.738186
NM_001101603	420	253.933	2	0.147111
NM_170593	6629	6461.88	20	0.0578104
NM_021893	3653	3485.88	46.0212	0.246593
NM_001081695	1831	1663.88	0	0
NM_001284197	1672	1504.88	0	0
NM_001284198	1468	1300.88	0	0
NM_001284200	1129	961.88	0	0
NM_001284199	1295	1127.88	0	0
NM_019448	1685	1517.88	0	0
NM_026931	1331	1163.88	551	8.84256
NM_001277316	2811	2643.88	550.528	3.88931
NM_001277315	3228	3060.88	879.528	5.36708
NM_001114879	7307	7139.88	171.486	0.448614
NM_133222	4106	3938.88	0	0
NM_175642	5522	5354.88	0	0
NM_001277317	2789	2621.88	30.015	0.213826
NM_001302957	7409	7241.88	2978.3	7.68161
NM_145496	2350	2182.88	213.59	1.82762
NM_001277318	2761	2593.88	1242.29	8.94554
NM_001302958	2265	2097.88	62.2237	0.554
NM_025459	2929	2761.88	124.803	0.844027
NM_001033400	2548	2380.88	0	0
NM_001081033	2848	2680.88	1	0.00696719
NM_001081403	4018	3850.88	0	0
NM_178643	1788	1620.88	395.695	4.55979
NM_024450	3470	3302.88	139.189	0.78713
NM_183216	3072	2904.88	37.4198	0.240607
NM_001034851	3139	2971.88	932.833	5.86283
NM_028945	7581	7413.88	2676.32	6.74259
NM_173036	2454	2286.88	1	0.00816754
NM_027980	3175	3007.88	1025	6.365
NM_008904	6464	6296.88	115.125	0.341492
NM_144520	2529	2361.88	83	0.65638
NM_010897	11847	11679.9	2606	4.16745
NM_178677	5801	5633.88	169.959	0.563472
NM_009147	4108	3940.88	2573	12.195
NM_001164562	5676	5508.88	222.471	0.754302
NM_019951	1113	945.88	3551	70.1212
NM_011342	1815	1647.88	2425.99	27.4978
NM_024206	1301	1133.88	4753	78.2953
NM_133704	3992	3824.88	1654	8.07705
NM_001029937	3928	3760.88	24.4048	0.121205
NM_025468	770	602.947	2290	70.9399
NM_001252544	2792	2624.88	2706.87	19.2616
NM_001252545	2781	2613.88	256.906	1.83579
NM_146013	2956	2788.88	0	0
NM_152915	3664	3496.88	1	0.00534139
NM_001281816	2421	2253.88	59.4856	0.492965
NM_153125	8754	8586.88	4817	10.4779
NM_001252543	2799	2631.88	0	0
NM_019787	2810	2642.88	1429.74	10.1045
NR_015577	1840	1672.88	387	4.32097
NR_003278	1870	1702.88	0	0
NM_001127725	2337	2169.88	25	0.215198
NR_027710	6495	6327.88	50.6666	0.149554
NR_132443	2983	2815.88	165.604	1.09848
NM_001012402	1234	1066.88	0	0
NM_001005847	1307	1139.88	1612.46	26.4219
NM_001205054	1277	1109.88	9.54059	0.160559
NM_001285418	3866	3698.88	0	0
NM_001285419	3855	3687.88	0	0
NM_001048139	4161	3993.88	0	0
NM_001285416	4078	3910.88	0	0
NM_001048141	4001	3833.88	0	0
NM_001048142	4009	3841.88	14.4432	0.0702188
NM_001285421	3941	3773.88	0	0
NM_007540	4302	4134.88	0	0
NM_001285417	3875	3707.88	0	0
NM_001285420	3743	3575.88	18.9313	0.0988854
NM_001316310	3950	3782.88	0	0
NM_001282737	692	524.976	2464	87.667
NM_001195544	902	734.88	0	0
NM_009571	2816	2648.88	0	0
NM_007711	5529	5361.88	2671.8	9.30725
NM_001099326	733	565.976	0	0
NM_001302386	4169	4001.88	2094.76	9.77698
NM_008996	2657	2489.88	8488.53	63.6779
NM_001085524	842	674.916	0	0
NM_001252089	1704	1536.88	1417.77	17.2306
NM_010240	986	818.88	62490.9	1425.38
NM_139148	3306	3138.88	50.2409	0.298963
NM_173873	5705	5537.88	0.00186753	6.2988e-06
NM_173876	5250	5082.88	1539.89	5.65869
NM_001277184	860	692.916	0	0
NM_011334	4641	4473.88	991.56	4.13971
NM_017474	2935	2767.88	7	0.0472374
NM_001081001	11134	10966.9	360.165	0.613413
NM_009764	6648	6480.88	1816	5.23379
NM_009900	3670	3502.88	184	0.981132
NM_173874	5781	5613.88	2271.31	7.55696
NM_001302387	4231	4063.88	972.42	4.46939
NM_207208	2998	2830.88	1	0.00659802
NM_009033	1750	1582.88	2034.97	24.0129
NM_013491	3545	3377.88	3	0.0165887
NM_001038697	733	565.976	0	0
NM_001146307	2405	2237.88	0	0
NM_178697	3921	3753.88	11	0.0547327
