target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1216.34	0	0
NM_009659	2347	2190.34	0	0
NM_001177730	1802	1645.34	125.603	1.28924
NM_013839	1955	1798.34	29.397	0.27607
NM_013556	1349	1192.34	7412	104.984
NM_054039	3765	3608.34	0	0
NM_001199347	3832	3675.34	0	0
NM_001199348	3690	3533.34	6.4595	0.0308746
NM_001037761	1789	1632.34	58.6784	0.607094
NM_001253718	3895	3738.34	179.631	0.811501
NM_028835	3774	3617.34	1033.75	4.82629
NM_001271405	1655	1498.34	195.681	2.20559
NM_001253717	3925	3768.34	0	0
NM_009798	1676	1519.34	6702.64	74.5039
NM_010410	584	427.527	0	0
NM_176847	3183	3026.34	5.00044	0.0279048
NM_001163433	6600	6443.34	10.6855	0.0280073
NM_138683	1834	1677.34	4.12266	0.0415092
NM_001037221	7120	6963.34	1181.1	2.86456
NM_028966	6856	6699.34	343.139	0.86502
NM_172815	3340	3183.34	0	0
NM_028351	2411	2254.34	0	0
NM_001040689	2371	2214.34	0	0
NM_008470	1580	1423.34	0.911565	0.010816
NM_011638	4920	4763.34	25345	89.8605
NM_001099635	5992	5835.34	1	0.00289415
NM_011179	2676	2519.34	110.608	0.74146
NM_001146120	2667	2510.34	9820.73	66.0692
NM_001146121	2673	2516.34	159.194	1.06843
NM_001146122	2664	2507.34	889.815	5.99342
NM_001146123	2640	2483.34	0	0
NM_001146124	2583	2426.34	1582.65	11.0159
NM_011443	2480	2323.34	0	0
NR_132735	1009	852.34	258.722	5.12636
NR_132734	1211	1054.34	303.278	4.85789
NM_008960	8229	8072.34	17261.7	36.1137
NM_009217	1532	1375.34	7.48041	0.0918551
NM_001042606	1342	1185.34	6.51959	0.0928893
NR_029382	2339	2182.34	358	2.77044
NM_001252452	991	834.34	1	0.0202416
NM_013633	1353	1196.34	0	0
NR_073392	5491	5334.34	0	0
NR_073425	2818	2661.34	2.99023	0.0189755
NM_001146038	5740	5583.34	0	0
NM_009820	5707	5550.34	0	0
