target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1223.87	0	0
NM_009659	2347	2197.87	0	0
NM_001177730	1802	1652.87	172.586	1.65183
NM_013839	1955	1805.87	16.4141	0.14379
NM_013556	1349	1199.87	7236	95.4032
NM_054039	3765	3615.87	6.25446	0.0273638
NM_001199347	3832	3682.87	5.70875	0.0245219
NM_001199348	3690	3540.87	0	0
NM_001037761	1789	1639.87	41.2544	0.397978
NM_001253718	3895	3745.87	245.105	1.03514
NM_028835	3774	3624.87	987.655	4.31035
NM_001271405	1655	1505.87	214.897	2.25757
NM_001253717	3925	3775.87	0	0
NM_009798	1676	1526.87	6775.85	70.2038
NM_010410	584	434.932	0	0
NM_176847	3183	3033.87	2.00011	0.0104293
NM_001163433	6600	6450.87	24.2644	0.0595046
NM_138683	1834	1684.87	5.27179	0.0494983
NM_001037221	7120	6970.87	1198.23	2.71928
NM_028966	6856	6706.87	1040.5	2.45428
NM_172815	3340	3190.87	2	0.00991563
NM_028351	2411	2261.87	0	0
NM_001040689	2371	2221.87	0	0
NM_008470	1580	1430.87	0	0
NM_011638	4920	4770.87	27890	92.4806
NM_001099635	5992	5842.87	0	0
NM_011179	2676	2526.87	316.656	1.98246
NM_001146120	2667	2517.87	11010.2	69.177
NM_001146121	2673	2523.87	149.637	0.937929
NM_001146122	2664	2514.87	916.273	5.7638
NM_001146123	2640	2490.87	0	0
NM_001146124	2583	2433.87	999.219	6.49475
NM_011443	2480	2330.87	0	0
NR_132735	1009	859.873	328.588	6.04529
NR_132734	1211	1061.87	93.4122	1.39165
NM_008960	8229	8079.87	20916.3	40.9524
NM_009217	1532	1382.87	9.26931	0.106039
NM_001042606	1342	1192.87	11.7307	0.155571
NR_029382	2339	2189.87	707	5.1074
NM_001252452	991	841.873	8	0.150329
NM_013633	1353	1203.87	0	0
NR_073392	5491	5341.87	0	0
NR_073425	2818	2668.87	8.08991	0.047953
NM_001146038	5740	5590.87	0	0
NM_009820	5707	5557.87	0	0
NM_001271627	5904	5754.87	18.197	0.0500223
NM_001145920	6475	6325.87	98.9072	0.247347
NM_001271630	5829	5679.87	58.0104	0.161572
NM_001271631	5724	5574.87	0	0
NM_153397	2447	2297.87	4	0.0275381
NM_012035	3550	3400.87	1.10591	0.00514435
NM_001302372	3547	3397.87	2.94806	0.0137255
NM_175096	1985	1835.87	2394	20.6291
NM_001302373	3674	3524.87	0	0
NM_009721	2590	2440.87	23108.9	149.773
NM_026976	1491	1341.87	13	0.153261
NM_001293693	2247	2097.87	0	0
NM_009810	2605	2455.87	2804.15	18.0632
NM_018733	8287	8137.87	5.09725	0.00990889
NM_001284409	2610	2460.87	9211.85	59.2185
NM_008342	1342	1192.87	0	0
NM_139206	5266	5116.87	5	0.0154584
NM_001205336	5425	5275.87	0	0
NM_175172	3767	3617.87	72.3259	0.316257
NM_001114312	4081	3931.87	5134.67	20.6592
NM_007496	16439	16289.9	943.773	0.916536
NM_001199956	1437	1287.87	7.15254	0.0878592
NM_001008542	5156	5006.87	594.34	1.87788
NM_001291013	2297	2147.87	305.723	2.25175
NM_001030292	1032	882.873	0	0
NM_001081248	1224	1074.87	0	0
NM_001105201	1557	1407.87	12	0.13484
NM_010275	4477	4327.87	0	0
NM_001008543	4843	4693.87	0.00200116	6.74452e-06
NM_001123394	708	558.907	0	0
NM_001013393	1323	1173.87	1.28121	0.0172663
NM_001301333	3761	3611.87	0	0
NM_001291012	2300	2150.87	747.288	5.49634
NM_001301332	4399	4249.87	1	0.00372241
NM_018743	3944	3794.87	9941	41.4412
NM_001290316	3457	3307.87	22.0114	0.105269
NM_001110506	2551	2401.87	176	1.15921
NM_010847	4996	4846.87	934.658	3.05064
NM_016902	2303	2153.87	702.988	5.1633
NM_001301357	3449	3299.87	0	0
NM_177410	2147	1997.87	35.135	0.27821
NR_045747	971	821.873	0	0
NR_045954	1094	944.873	0	0
NR_028300	1815	1665.87	378	3.58963
NR_028427	5292	5142.87	450.919	1.38705
NM_001281470	345	197.538	0	0
NM_001142750	1032	882.873	0	0
