target_id	length	eff_length	est_counts	tpm
NM_007493	1373	1198.22	0	0
NM_009659	2347	2172.22	0	0
NM_001177730	1802	1627.22	62.5058	0.844383
NM_013839	1955	1780.22	34.4942	0.425929
NM_013556	1349	1174.22	6118	114.532
NM_054039	3765	3590.22	0	0
NM_001199347	3832	3657.22	0	0
NM_001199348	3690	3515.22	5.34952	0.0334524
NM_001037761	1789	1614.22	42.3876	0.57722
NM_001253718	3895	3720.22	174.164	1.02909
NM_028835	3774	3599.22	816.2	4.98487
NM_001271405	1655	1480.22	123.408	1.83266
NM_001253717	3925	3750.22	0	0
NM_009798	1676	1501.22	4978.2	72.8943
NM_010410	584	409.418	0	0
NM_176847	3183	3008.22	3.00028	0.0219239
NM_001163433	6600	6425.22	15.9796	0.0546693
NM_138683	1834	1659.22	8.10786	0.107416
NM_001037221	7120	6945.22	1063.89	3.36726
NM_028966	6856	6681.22	969.13	3.18854
NM_172815	3340	3165.22	0	0
NM_028351	2411	2236.22	5	0.0491497
NM_001040689	2371	2196.22	0	0
NM_008470	1580	1405.22	0	0
NM_011638	4920	4745.22	14981	69.3984
NM_001099635	5992	5817.22	1	0.00377876
NM_011179	2676	2501.22	184.639	1.62269
NM_001146120	2667	2492.22	9894.76	87.2739
NM_001146121	2673	2498.22	84.4073	0.742702
NM_001146122	2664	2489.22	789.163	6.96897
NM_001146123	2640	2465.22	12.0343	0.107308
NM_001146124	2583	2408.22	657.993	6.00607
NM_011443	2480	2305.22	0	0
NR_132735	1009	834.219	266.149	7.0131
NR_132734	1211	1036.22	181.851	3.85771
NM_008960	8229	8054.22	20016.2	54.6289
NM_009217	1532	1357.22	11.3809	0.184329
NM_001042606	1342	1167.22	8.61907	0.16232
NR_029382	2339	2164.22	754	7.65835
NM_001252452	991	816.219	1	0.0269314
NM_013633	1353	1178.22	0	0
NR_073392	5491	5316.22	0	0
NR_073425	2818	2643.22	16.1443	0.134261
NM_001146038	5740	5565.22	0	0
NM_009820	5707	5532.22	0	0
NM_001271627	5904	5729.22	0	0
NM_001145920	6475	6300.22	150.367	0.524641
NM_001271630	5829	5654.22	49.1631	0.191131
NM_001271631	5724	5549.22	0	0
NM_153397	2447	2272.22	0	0
NM_012035	3550	3375.22	2.2411	0.0145957
NM_001302372	3547	3372.22	7.45071	0.0485677
NM_175096	1985	1810.22	2554	31.0138
NM_001302373	3674	3499.22	0	0
NM_009721	2590	2415.22	14556.1	132.481
NM_026976	1491	1316.22	7	0.116906
NM_001293693	2247	2072.22	3	0.0318237
NM_009810	2605	2430.22	1823.04	16.4898
NM_018733	8287	8112.22	0.995867	0.00269853
NM_001284409	2610	2435.22	4318.96	38.9858
NM_008342	1342	1167.22	0	0
NM_139206	5266	5091.22	5	0.021588
NM_001205336	5425	5250.22	0	0
NM_175172	3767	3592.22	22.4167	0.137175
NM_001114312	4081	3906.22	3958.58	22.2766
NM_007496	16439	16264.2	714.242	0.965334
NM_001199956	1437	1262.22	1.3965	0.0243204
NM_001008542	5156	4981.22	301.718	1.33147
NM_001291013	2297	2122.22	280.156	2.90185
NM_001030292	1032	857.219	0	0
NM_001081248	1224	1049.22	0	0
NM_001105201	1557	1382.22	9	0.14313
NM_010275	4477	4302.22	0	0
NM_001008543	4843	4668.22	0	0
NM_001123394	708	533.279	0	0
NM_001013393	1323	1148.22	1.97274	0.0377667
NM_001301333	3761	3586.22	0	0
NM_001291012	2300	2125.22	681.728	7.05136
NM_001301332	4399	4224.22	0	0
NM_018743	3944	3769.22	7224	42.13
NM_001290316	3457	3282.22	21.0562	0.141019
NM_001110506	2551	2376.22	146	1.35061
NM_010847	4996	4821.22	489.282	2.23083
NM_016902	2303	2128.22	706.116	7.29331
NM_001301357	3449	3274.22	0	0
NM_177410	2147	1972.22	27.8284	0.310169
NR_045747	971	796.219	0	0
NR_045954	1094	919.219	2	0.0478273
NR_028300	1815	1640.22	257	3.44426
NR_028427	5292	5117.22	614.062	2.63781
NM_001281470	345	174.595	0	0
NM_001142750	1032	857.219	0	0
NM_001085538	1292	1117.22	1.68836	0.0332195
NM_001167673	643	468.329	0	0
NM_001105160	1999	1824.22	0	0
NM_001104525	1770	1595.22	0	0
NM_001166210	6340	6165.22	2	0.00713094
NM_001081294	1293	1118.22	0	0
NM_001100596	2680	2505.22	0	0
NM_001289458	2838	2663.22	0	0
NM_001289459	2827	2652.22	0	0
NM_010427	2810	2635.22	0	0
NM_001289461	2645	2470.22	0	0
NM_001199431	5370	5195.22	4257.87	18.0158
NM_013464	5494	5319.22	4545.62	18.785
NM_010066	5367	5192.22	2702.71	11.4422
NM_001199432	5251	5076.22	119.988	0.51959
NM_001199433	5876	5701.22	162.763	0.627557
NM_001277149	11306	11131.2	640	1.26387
NM_010601	3583	3408.22	68	0.438578
NM_001101603	420	246.872	0	0
NM_170593	6629	6454.22	9	0.0306524
NM_021893	3653	3478.22	45.9257	0.290245
NM_001081695	1831	1656.22	0	0
NM_001284197	1672	1497.22	0	0
NM_001284198	1468	1293.22	0	0
NM_001284200	1129	954.219	0	0
NM_001284199	1295	1120.22	0	0
NM_019448	1685	1510.22	0	0
NM_026931	1331	1156.22	389	7.39562
NM_001277316	2811	2636.22	756.209	6.30558
NM_001277315	3228	3053.22	884.054	6.36481
